"メーカー品番","仕入先","Digi-Key品番","客先参照品番（任意）","参照名","梱包形態","部品状況","数量","単価","金額","在庫数量","メーカー標準リードタイム","商品概要","RoHS ステータス","鉛フリーステータス","REACHステータス"
"PPPC192LFBN-RC","Sullins Connector Solutions","S7122-ND","","CN7,CN10","トレイ","アクティブ","2","265.00000","¥530","798","5 週間","CONN HDR 38POS 0.1 GOLD PCB","ROHS3対応","鉛フリー","REACHの影響なし"
"85","Adafruit Industries LLC","1528-1074-ND","","CN5,CN6,CN8,CN9","バルク","アクティブ","1","229.00000","¥229","3872","4 週間","STACKING HEADER ARDUINO SHIELD","ROHS3対応","鉛フリー","Not Available"
